,title,genres,year,originals,everything
1075,Monzón: A Knockout Blow,"action-and-adventure,animation,drama,biography,crime,history,sport,documentary",2019,1,"The story about Argentinian boxer Carlos Monzón in his career and life in prison. action-and-adventure,animation,drama,biography,crime,history,sport,documentary"
1076,Morocco: Love in Times of War,"drama,romance",2017,0,"Oblivious to the strife that awaits them, a group of young nurses from Spain's upper class head to war-torn Marocco in 1921 to help where help is needed. Many lessons in love and life are learned before they overcome deepest conflicts, grow as human beings and find out what they really want from life and whom they truly love. drama,romance"
1077,Morphle,"animation,action-and-adventure,family",2011,0,"Mila's dad runs the only magic pet store in the city - a fantastical place where you can find all sorts of cute and quirky pets who each have their own unique magic powers, and he has gifted Mila the most magic pet of all, Morphle. animation,action-and-adventure,family"
1078,Mortel,"drama,fantasy,horror,science-fiction,crime",2019,1,"Sofiane, Victor and Luisa, three seemingly incompatible teenagers find themselves bound together by a supernatural force. drama,fantasy,horror,science-fiction,crime"
1079,Most Beautiful Thing,"romance,drama",2019,1,"A 1950s housewife goes to Rio de Janeiro to meet up with her husband, only to learn he's deserted her, but decides to stay and open a bossa nova club. romance,drama"
1080,Mother Goose Club,"family,children",2011,0,"Sing and dance along to your favorite nursery rhymes with your friends from Mother Goose Club, where fun and learning always go hand in hand! family,children"
1081,Motorway Cops,"documentary,reality",2013,0,"Cameras catch the intense action that follows the law enforcers of Britain's motorways as they pursue criminals of all types. documentary,reality"
1082,Motown Magic,"animation,children,family",2018,1,"Imaginative boy Ben transforms his city by bringing colorful street art to life, armed with a magic paintbrush -- and the classic sounds of Motown. animation,children,family"
1083,Moving Art,documentary,2007,0,"Experience nature's art as filmmaker Louie Schwartzberg highlights the beauty that lurks in oceans, forests, deserts and flowers. documentary"
1084,Moving On,drama,2009,0,Moving On is a British television series set in contemporary Britain consisting of standalone dramas all sharing the theme of someone going through some kind of change in their life and moving on. drama
1085,Mr. Iglesias,comedy,2019,1,A good-natured high school teacher working at his alma mater works with gifted but misfit and disinterested students. comedy
1086,Mr. Sunshine,"romance,action-and-adventure,drama,history",2018,1,"Based in Shinmiyangyo, or the U.S. expedition to Korea in the late 19th century, Mr. Sunshine tells the story of a Korean boy born into a family of a house servant running away to board an American warship, later to return to his homeland as a U.S. marine officer. He ironically falls in love with an aristocrat’s daughter and discovers the dark scheme to colonize the country that he once ran away from. romance,action-and-adventure,drama,history"
1087,Mr. Young,"children,comedy,family,fantasy",2011,0,"Mr. Young is a Canadian comedy series that premiered on March 1, 2011 on YTV. The series is shot in front of a live audience in Burnaby, British Columbia. The series was created by Dan Signer, and stars Brendan Meyer, Matreya Fedor and Gig Morton as attendants of Finnegan High School. Further main cast includes Kurt Ostlund, Emily Tennant, and Milo Shandel. children,comedy,family,fantasy"
1088,Murder Files,No info,2012,0,"Murder Files is not currently available to stream, rent, or buy but you can track it for updates. It has 1 episodes over 1 season. Murder Files is still airing with no announced date for the next episode or season. No info"
1089,Murder Maps,"crime,history,documentary",2015,0,"MURDER MAPS takes you back in time to some of the most shocking and surprising murder investigations in history. In each episode we visit a different era in London's dark past and through dramatic reconstruction we tell the stories of how the killers were eventually brought to justice. As the series progresses we witness how the police deployed more and more forensic methods in the investigations. crime,history,documentary"
1090,Murder Mountain,"documentary,crime",2018,0,"In Humboldt County, California, the big business of legal marijuana brings in visitors from around the world. Some are never seen again. documentary,crime"
1091,Murderous Affairs,"crime,reality,documentary",2016,0,"Zeros in on love affairs gone wrong and spouses who are driven to kill - stories that give a whole new meaning to the vow: Till death do us part. crime,reality,documentary"
1092,Murphy's Law of Love,No info,2014,0,An online matchmaker who's convinced she's living under a curse finds her theories on life and love tested when she meets a shrewd divorce expert. No info
1093,My Babysitter's a Vampire_2011,"action-and-adventure,comedy,fantasy,horror,science-fiction",2011,0,"Ethan, Benny and fledgling vampire Sarah battle zombies, demons and the other supernatural beasties that regularly threaten their school. action-and-adventure,comedy,fantasy,horror,science-fiction"
1094,My Country: The New Age,"action-and-adventure,drama,history,romance",2019,1,"Set during the turbulent time of the fall of Goryeo and the founding of Joseon, two former friends face-off against one another over a woman and the future shape of the nation. action-and-adventure,drama,history,romance"
1095,My Dear Warrior,"fantasy,romance",2019,0,"Sky is beautiful single female astronomer at a planetarium and has received a gift: a thick wooden-covered book and magic pen from Vanda, her aunt who has been taking care of Sky since childhood and is a crazy writer who is suffering from amnesia. fantasy,romance"
1096,My First First Love,"romance,drama",2019,1,"Due to various personal reasons, a group of Yun Tae-o’s friends move into his house, where they experience love, friendship, and everything in between. romance,drama"
1097,My Holo Love,"drama,romance,science-fiction",2020,1,"Go Nan Do, the owner, and creator of an IT research company must hide his existence from the world after his involvement as a hacker in a major case ten years ago. Presumed dead, the only people who knew of his existence are his step-sister and his companies CEO. Han So Yeon, an assistant manager at a glasses company, keeps her distance from people, due to her inability to recognize people’s faces. drama,romance,science-fiction"
1098,My Hotter Half,No info,2017,0,"It's partner versus partner, as couples compete to make the most smoking selfie in this explosive, nerve-jangling battle of hotness. No info"
1099,My Husband Won't Fit,"drama,romance",2019,1,"Kumiko and Kenichi meet in college and build a happy marriage together. But over time, an unusual problem threatens to destroy their relationship. drama,romance"
1100,My Life,"comedy,stand-up-and-talk",2014,0,"Fictional series based on the life (and starring) Martin Matte, a comedian and popular figure in PQ, Canada. It tells the story of the awkward but funny moments that the stand-up man has to face everyday. comedy,stand-up-and-talk"
1101,My Little Baby,No info,2016,0,A top detective in the violent crimes unit becomes the sole guardian of his 6-month-old niece when his sister and her husband pass away unexpectedly. He goes from chasing down criminals to changing diapers ... overnight. He's so not ready for this. No info
